"","Condition","Consent","Pre_Q1","Pre_Q2","Pre_Q3","Pre_Q4","Pre_Q5","Pre_Q6","Pre_Q7","Pre_Q8","Pre_Q9","Pre_Q10","Pre_Q11","Pre_Q12","Pre_Q13","Pre_Q14","Pre_Q15","Image1","Image2","Image3","Image4","Image5","Image6","Image7","Image8","Vignette","Fact1","Fact2","Fact3","Fact4","Fact5","Fact6","Fact7","Fact8","Post_Q1","Post_Q2","Post_Q3","Post_Q4","Post_Q5","Post_Q6","Post_Q7","Post_Q8","Post_Q9","Post_Q10","Post_Q11","Post_Q12","Post_Q13","Post_Q14","Post_Q15","Behavior_CleanUp","Manipulation_Check","Animal_Age","Participant_Age","Participant_Gender","Behavior_Image1","Behavior_Image2","Behavior_Image3","Behavior_Image4","Behavior_Image"
"194",5,1,1,1,1,7,7,7,7,7,5,2,3,5,1,1,4,7,5,6,4,7,4,7,5,5,2,1,1,2,1,2,2,1,1,1,1,1,1,7,7,6,7,1,7,1,7,1,5,1,3,1,"43","Male",1,1,1,4,1
"195",5,1,2,2,2,4,6,4,5,4,4,2,6,4,2,6,5,5,2,4,2,5,2,7,3,2,2,2,1,1,2,2,1,1,3,2,2,3,5,5,4,5,6,2,3,5,6,6,5,2,3,1,"49","Female",1,1,2,4,1
"196",5,1,1,1,1,4,7,6,7,6,4,3,3,6,2,2,7,7,3,3,1,5,2,6,4,3,2,2,1,1,2,2,1,1,1,1,7,2,6,5,6,5,7,1,6,1,5,4,6,2,3,1,"60","Female",1,1,1,4,1
"197",5,1,1,1,1,7,7,7,7,7,7,4,7,7,1,1,7,7,7,7,1,7,1,7,1,1,2,2,1,1,2,2,1,1,1,1,7,1,7,7,7,7,7,1,7,1,7,7,7,1,3,1,"40","Female",2,1,2,4,1
"198",5,1,1,1,3,7,7,7,7,7,5,5,7,1,1,5,1,5,1,5,2,7,1,7,1,1,2,2,1,1,2,2,2,1,1,1,7,1,6,7,7,7,7,1,7,1,6,1,7,2,3,2,"30","Female",2,1,1,4,1
"199",5,1,1,1,1,7,7,6,7,7,2,3,3,5,1,3,7,7,2,6,3,7,5,7,2,3,2,2,1,1,2,2,1,1,1,1,5,2,2,7,7,6,7,1,7,1,1,1,6,1,3,3,"31","Female",1,1,1,4,1
"200",5,1,5,4,3,5,5,4,5,5,4,5,3,4,3,4,6,7,4,5,4,4,4,5,6,5,1,2,1,1,2,2,2,1,3,3,4,4,5,4,7,5,4,2,4,5,5,4,5,1,3,1,"31","Female",2,1,1,4,2
"201",5,1,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,5,6,5,7,6,6,4,6,6,1,1,2,1,2,1,2,1,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,1,3,1,"35","Male",2,1,1,4,1
"202",6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,7,7,4,1,1,2,2,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,1,"23","Female",1,1,1,4,1
"203",6,1,6,5,6,7,6,5,7,6,5,6,7,6,4,6,7,5,5,5,7,5,5,5,5,5,1,1,1,2,1,1,2,1,5,7,5,6,7,6,5,6,5,7,6,5,7,6,5,1,3,1,"25","Female",1,1,1,4,1
"204",6,1,6,4,1,2,4,7,6,1,5,7,4,6,4,1,4,7,7,7,6,7,7,6,7,7,2,2,2,2,1,2,2,1,6,2,1,1,1,4,6,7,7,3,1,5,6,5,6,1,3,1,"25","Male",1,1,1,4,1
"205",6,1,7,6,7,6,6,7,6,7,7,6,6,7,6,7,7,7,6,7,5,7,6,7,7,7,1,1,1,2,1,1,1,2,6,7,6,7,7,7,6,7,6,7,7,7,6,7,7,1,3,3,"25","Female",3,1,2,4,1
"206",6,1,6,5,7,6,5,6,5,4,6,7,6,5,4,6,7,6,6,6,7,6,6,6,6,6,1,2,1,1,2,1,1,2,6,5,6,5,6,5,7,6,5,6,7,6,6,5,7,1,3,1,"27","Female",3,1,2,5,1
"207",6,1,3,2,2,4,6,5,5,4,4,3,5,3,2,3,6,5,4,5,3,7,5,6,4,5,2,2,1,1,2,2,1,1,3,2,6,2,3,3,4,3,5,3,4,2,6,5,4,1,3,1,"27","Male",1,1,1,4,1
"208",6,1,5,4,3,7,4,7,5,4,1,2,2,5,5,3,4,4,5,5,6,4,3,6,5,5,2,1,2,2,1,2,1,2,7,6,4,4,6,5,6,4,5,4,4,3,6,4,5,2,3,1,"28","Male",3,2,2,5,2
"209",6,1,6,5,4,5,6,5,4,5,4,5,6,5,4,5,5,6,4,6,1,4,2,7,1,2,1,1,1,2,1,1,1,1,6,5,4,5,4,6,5,4,5,4,6,5,4,6,5,1,3,2,"28","Male",3,1,1,4,1
"210",6,1,6,4,1,2,4,2,3,2,4,3,5,5,5,5,6,5,6,5,6,5,6,4,6,6,1,2,1,2,1,1,2,1,5,2,7,4,4,3,6,2,7,1,6,1,3,5,4,2,3,1,"29","Male",3,1,2,5,1
"211",6,1,1,1,2,5,5,6,5,6,5,2,4,3,1,1,4,7,5,6,5,7,7,7,4,6,2,2,1,1,2,2,1,1,1,1,7,1,5,7,7,5,7,2,5,2,6,1,7,1,3,1,"29","Female",1,1,1,4,2
"212",6,1,5,1,7,6,1,5,3,7,3,1,4,5,3,3,7,7,6,6,7,6,5,6,5,7,1,1,2,1,1,1,2,1,3,7,3,5,5,3,7,5,2,4,1,5,7,7,7,2,3,1,"30","Male",3,1,1,5,1
"213",6,1,5,6,4,6,4,5,7,6,4,6,4,6,4,6,5,1,5,5,5,1,7,1,7,7,1,1,2,1,2,1,1,1,6,5,6,4,5,6,4,5,4,5,4,5,6,4,5,1,3,3,"30","Male",3,2,1,4,1
"214",6,1,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,6,5,6,5,6,5,1,1,1,1,1,1,1,1,5,6,5,6,5,7,5,6,5,6,5,6,5,6,5,1,3,2,"31","Male",3,1,2,4,2
"215",6,1,6,4,2,6,5,1,6,5,1,5,3,1,1,7,5,5,5,3,2,7,3,6,4,5,2,1,1,1,1,1,2,1,5,5,4,6,2,1,4,3,3,5,3,2,3,6,3,1,3,1,"32","Male",3,1,2,4,2
"216",6,1,4,5,2,2,7,7,3,7,3,5,1,4,2,3,6,6,5,5,5,7,2,6,5,5,1,1,1,1,2,1,1,1,5,6,5,4,3,5,5,6,6,5,5,5,6,5,5,1,3,1,"32","Female",3,1,1,5,2
"217",6,1,3,2,3,7,6,7,3,7,5,6,7,6,1,1,7,7,1,4,7,7,1,7,1,7,2,1,1,2,2,1,1,1,1,4,7,1,6,4,7,5,6,1,5,4,3,1,1,1,3,2,"32","Male",3,1,1,4,2
"218",6,1,1,1,1,7,7,5,3,4,1,1,1,7,1,1,7,7,1,5,1,7,3,7,1,6,2,2,1,1,2,2,1,1,1,1,7,1,7,7,7,7,7,1,7,3,7,1,7,2,3,1,"33","Female",1,1,1,4,1
"219",6,1,1,1,1,7,7,7,7,7,1,1,1,7,1,1,7,7,4,7,4,7,4,7,5,7,2,2,1,1,2,2,1,1,1,1,7,1,7,7,7,1,7,1,7,1,7,1,7,1,3,1,"34","Male",1,1,1,4,1
"220",6,1,1,1,1,7,7,7,6,7,1,1,1,7,1,1,7,7,4,6,4,7,4,7,4,7,2,2,1,1,1,2,2,1,1,7,7,1,7,7,7,1,7,1,1,3,1,1,7,1,3,1,"35","Female",3,1,1,4,1
"221",6,1,7,6,7,6,7,7,6,7,6,7,6,7,6,7,6,6,6,5,7,7,6,6,7,5,1,1,1,2,2,1,2,1,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,1,3,2,"35","Male",3,1,1,4,1
"222",6,1,6,6,6,7,6,5,5,5,6,5,5,5,6,5,6,7,1,5,1,7,6,5,1,7,1,1,1,1,1,1,1,1,7,6,6,6,6,5,6,5,6,7,5,5,6,7,5,1,3,1,"35","Male",1,1,1,4,1
"223",6,1,2,3,2,4,7,5,5,6,3,1,2,5,1,1,7,6,2,6,1,7,5,7,2,7,2,2,1,1,2,1,1,1,1,1,4,1,5,6,5,6,3,1,6,1,3,1,6,1,3,3,"37","Female",1,1,1,4,1
"224",6,1,1,1,2,5,6,5,4,5,4,2,2,5,2,2,4,5,2,4,2,6,2,7,3,5,2,2,1,1,2,2,1,1,3,4,6,4,5,6,6,6,7,2,5,4,6,2,7,2,3,1,"37","Female",1,1,1,4,1
"225",6,1,1,2,2,6,6,5,6,5,4,3,5,5,2,3,5,6,4,5,6,6,4,7,5,6,2,1,1,2,2,2,1,1,3,2,2,3,5,6,6,5,5,1,6,3,5,3,6,2,3,1,"39","Male",1,1,2,4,1
"226",6,1,2,2,2,2,5,2,3,2,2,2,6,2,5,2,2,5,1,2,1,6,1,7,1,6,2,2,1,1,2,2,1,1,6,6,5,6,2,5,5,5,5,1,1,4,5,5,6,2,3,1,"41","Female",1,1,1,4,1
"227",6,1,6,7,3,6,7,4,1,4,7,4,2,5,7,4,1,7,5,7,3,5,5,6,1,7,1,2,1,1,2,1,1,2,4,6,7,4,3,7,4,6,1,3,5,7,5,3,6,1,3,3,"44","Female",3,1,2,4,2
"228",6,1,3,1,2,4,4,5,6,5,6,3,4,5,1,2,7,6,4,5,4,6,4,7,5,5,2,2,1,1,2,2,1,1,3,1,4,3,5,7,4,5,6,3,4,2,5,4,6,2,3,1,"49","Female",1,1,1,4,1
"229",6,1,3,2,3,2,2,2,2,2,4,4,4,1,2,2,5,5,4,5,5,5,5,6,5,4,2,2,1,2,2,2,2,1,6,3,5,6,1,5,3,3,6,4,1,5,3,5,5,2,3,1,"51","Male",3,2,2,5,1
"230",6,1,1,1,1,7,7,7,1,1,1,1,1,1,1,1,7,7,1,7,1,7,2,7,5,7,2,2,1,1,2,1,1,2,1,1,7,1,7,7,7,7,7,1,7,1,7,1,7,2,3,1,"53","Male",1,1,1,4,1
"231",6,1,4,5,4,5,4,4,5,4,3,4,5,4,3,4,5,6,5,5,6,3,6,5,4,5,1,1,2,1,1,2,1,2,4,5,4,5,4,5,6,5,4,5,5,4,5,6,5,1,3,3,"65","Male",3,1,1,4,2
"232",6,1,3,2,5,6,7,7,7,7,6,6,2,5,5,6,5,7,2,6,1,7,4,7,4,6,2,2,1,1,2,2,1,1,1,2,6,1,6,6,7,6,7,1,6,1,5,1,5,1,3,1,"69","Female",1,1,1,4,1
"233",6,1,2,2,5,5,4,5,5,5,5,4,6,1,4,2,1,5,3,2,1,5,1,5,4,4,2,2,1,1,2,2,1,1,5,7,5,3,1,4,4,4,7,2,1,1,2,7,4,2,3,1,"69","Male",1,2,1,5,2
"234",6,1,5,5,5,4,4,5,4,5,5,4,3,4,4,3,4,6,2,4,5,6,4,5,3,5,1,1,1,1,1,1,1,1,4,3,3,3,3,4,3,3,3,6,4,4,4,4,4,1,3,3,"36","Female",3,1,1,4,1
"235",6,1,1,1,1,6,7,5,5,6,1,1,2,4,1,2,7,7,4,6,4,7,4,7,4,6,2,2,1,1,2,2,1,1,1,1,7,1,5,7,6,6,7,1,6,2,7,2,5,2,3,1,"36","Female",1,1,1,4,1
"236",6,1,6,5,4,6,4,5,4,3,6,5,4,5,4,6,7,6,1,5,1,7,2,7,1,5,1,1,1,1,1,1,1,2,5,4,5,5,4,5,4,3,5,6,4,6,5,4,6,1,3,1,"38","Male",1,1,1,5,1
"237",6,1,1,1,1,7,7,2,4,5,6,2,1,4,1,1,4,5,1,6,1,6,1,7,2,5,1,2,1,1,1,2,2,1,3,4,7,5,4,7,7,6,7,1,3,3,7,1,7,2,3,1,"42","Male",1,1,1,4,1
"238",6,1,5,6,5,6,5,6,5,6,5,5,5,6,5,6,5,5,6,6,7,5,6,6,6,5,1,1,2,2,1,2,1,2,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,1,3,3,"53","Male",3,2,2,4,2
"239",6,1,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,4,6,4,6,3,6,3,6,7,1,2,1,1,1,1,1,1,6,5,6,5,6,5,6,5,6,5,6,5,7,5,6,1,3,3,"63","Male",3,1,1,4,1
"240",7,1,2,2,2,7,7,7,7,7,2,2,2,2,2,4,7,7,1,7,1,7,1,7,4,6,1,1,1,2,2,2,1,2,1,1,4,4,1,7,4,4,3,4,1,1,1,1,1,1,4,3,NA,NA,1,1,1,4,1
"241",7,1,1,1,1,7,7,7,7,6,3,4,2,7,1,1,7,6,7,7,4,6,5,6,4,7,2,2,1,1,2,2,1,1,2,1,7,1,7,7,7,4,7,1,6,1,7,2,7,1,4,3,"21",NA,1,1,1,1,1
"242",7,1,1,1,1,7,7,7,7,7,1,1,1,7,1,1,7,5,2,7,2,6,3,5,2,5,2,2,1,1,2,2,1,1,1,1,7,1,7,7,7,7,7,1,7,1,7,1,7,2,4,3,"23","Male",1,1,1,4,1
"243",7,1,2,1,2,6,7,6,6,5,2,1,1,5,1,1,6,5,2,6,3,5,5,5,6,6,2,2,1,1,2,2,1,1,2,1,7,1,6,7,7,7,7,1,5,1,7,1,7,1,4,3,"23","Male",1,1,1,4,1
"244",7,1,1,2,2,7,7,7,6,7,1,2,7,4,1,1,7,7,5,7,3,7,2,6,5,6,2,2,1,1,2,2,1,1,1,1,2,1,7,2,7,1,7,1,7,6,3,6,7,2,4,3,"25","Male",2,1,2,4,1
"245",7,1,1,1,1,7,7,6,7,7,6,2,2,5,1,7,7,6,5,7,4,7,4,3,5,6,2,2,1,1,2,2,1,1,1,1,7,1,6,7,7,6,7,1,6,7,7,2,7,1,4,3,"26","Female",1,1,1,4,1
"246",7,1,3,1,2,1,1,1,1,1,4,4,6,1,4,5,4,1,4,1,1,1,1,1,1,4,2,2,1,1,2,2,1,1,7,6,3,6,2,4,1,1,4,6,1,7,3,6,3,2,4,3,"27","Male",1,2,1,5,2
"247",7,1,6,5,6,5,7,5,6,5,6,7,6,5,6,7,6,6,7,5,7,6,7,5,7,7,1,1,1,2,2,1,1,1,6,6,7,6,7,6,7,6,7,6,6,6,7,7,7,1,4,3,"28","Male",1,1,1,4,1
"248",7,1,7,5,6,7,5,6,7,6,5,7,6,5,7,6,5,7,5,6,5,7,5,7,6,7,1,2,1,1,1,2,2,1,7,5,6,7,6,5,6,7,6,5,6,7,6,5,7,1,4,2,"28","Male",1,2,2,5,1
"249",7,1,7,4,1,7,7,1,1,7,4,4,4,4,7,4,4,7,7,7,1,4,4,5,5,4,2,2,2,2,2,2,1,1,3,4,4,3,5,1,7,4,6,1,4,2,5,5,4,2,4,3,"28","Male",1,2,2,4,2
"250",7,1,5,4,4,5,3,4,5,4,3,5,5,4,4,5,4,5,4,5,6,4,3,5,4,5,2,2,2,2,2,1,1,2,4,5,4,3,5,4,4,5,4,5,4,4,5,4,4,1,4,3,"30","Male",2,1,2,4,2
"251",7,1,2,1,1,6,7,6,4,6,5,3,6,2,1,1,6,7,4,6,2,5,4,5,5,7,2,2,2,1,2,2,1,1,2,1,6,2,4,7,7,4,6,1,6,4,6,3,7,2,4,3,"31","Male",1,1,1,4,1
"252",7,1,4,5,4,6,6,6,5,5,5,4,6,5,4,5,4,7,2,7,1,7,2,7,2,6,2,2,1,1,1,1,1,1,3,6,6,6,5,2,2,2,2,6,2,6,6,4,3,1,4,3,"31","Male",1,1,1,4,1
"253",7,1,4,3,3,6,6,5,5,4,3,4,5,5,4,4,5,5,5,6,4,5,4,6,5,5,2,2,1,2,2,1,1,1,2,3,5,4,5,4,5,5,5,2,5,3,4,5,5,1,4,3,"31","Female",1,1,1,4,1
"254",7,1,5,5,5,4,4,4,5,5,4,5,5,5,4,4,4,6,5,6,5,5,4,5,4,5,1,1,1,1,2,1,1,1,5,5,5,4,4,5,5,4,4,5,5,5,5,5,5,1,4,3,"32","Male",1,1,1,5,1
"255",7,1,7,6,7,7,5,6,7,7,5,6,7,6,7,5,7,5,7,6,7,5,7,5,7,7,1,1,2,1,1,2,1,1,7,5,7,6,5,7,7,6,5,7,7,4,6,7,6,1,4,3,"33","Male",2,1,2,5,2
"256",7,1,3,2,3,4,5,3,2,4,3,2,3,4,3,4,3,3,4,4,3,4,3,4,5,3,2,2,2,1,2,2,1,1,3,2,4,3,2,4,4,3,4,2,3,4,4,4,3,2,4,3,"34","Male",1,1,1,4,1
"257",7,1,7,6,7,6,7,6,7,6,7,6,7,6,7,5,7,7,7,1,7,1,7,1,7,7,1,2,1,1,2,1,1,1,7,6,6,7,6,5,7,5,6,7,7,6,5,6,7,1,4,1,"34","Female",2,1,1,4,1
"258",7,1,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,6,7,6,7,4,5,6,6,6,1,2,1,1,2,2,1,1,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,1,4,1,"36","Male",2,2,2,5,1
"259",7,1,1,1,1,7,7,7,7,7,3,3,1,6,1,1,6,7,6,7,6,7,7,7,7,7,2,2,1,1,2,2,1,1,1,1,7,1,7,7,7,7,7,1,7,1,7,1,7,1,4,3,"37","Male",1,1,1,4,1
"260",7,1,5,6,6,4,5,1,2,2,4,3,2,3,1,1,7,3,7,5,4,5,7,4,6,5,2,2,1,1,2,2,1,1,6,1,3,5,4,7,5,4,3,4,4,2,3,1,7,2,4,3,"39","Male",1,1,1,4,1
"261",7,1,3,2,2,6,6,4,4,4,3,1,1,4,3,4,7,6,4,6,3,5,5,6,5,6,2,2,1,1,1,2,1,1,3,7,6,3,5,5,5,6,6,1,6,4,5,1,6,2,4,3,"40","Female",1,1,1,4,1
"262",7,1,1,1,1,7,7,6,6,5,3,3,5,1,1,1,7,5,4,7,3,7,4,6,4,6,2,2,2,1,1,2,1,1,1,1,7,1,6,7,7,7,7,1,7,7,7,4,4,2,4,3,"40","Male",1,1,1,4,1
"263",7,1,3,2,5,6,7,3,5,7,6,4,2,2,4,6,2,5,7,5,4,5,6,7,6,6,2,2,1,1,2,2,1,1,1,6,4,3,4,5,7,6,3,1,3,2,4,4,6,2,4,3,"41","Male",1,2,1,4,1
"264",7,1,5,6,5,5,6,5,6,6,5,6,5,6,6,5,6,5,5,5,6,3,6,4,6,6,1,1,2,1,1,1,2,1,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,1,4,1,"45","Male",2,1,1,4,1
"265",7,1,4,7,6,5,6,3,1,6,7,5,3,4,5,7,6,4,7,1,4,1,7,1,7,7,1,2,1,1,2,1,2,1,4,6,5,7,6,5,7,4,5,7,6,5,7,6,5,1,4,3,"48","Male",2,2,1,4,1
"266",7,1,2,2,1,6,6,1,4,5,2,2,2,5,1,1,6,5,6,6,5,5,6,5,6,5,2,2,1,1,2,2,1,1,5,1,6,3,5,6,5,5,6,1,5,3,6,2,6,2,4,3,"50","Female",1,1,1,4,1
"267",7,1,1,2,2,5,6,5,6,6,4,2,3,5,1,2,6,5,2,7,1,6,4,5,3,5,2,2,1,1,2,2,1,1,3,1,1,2,6,7,5,6,6,1,5,2,5,3,6,1,4,3,"53","Male",1,1,1,4,1
"268",7,1,1,1,1,7,7,7,4,4,4,5,5,5,6,6,5,5,6,6,5,5,6,5,5,4,2,2,1,1,2,2,1,1,1,1,7,1,5,7,6,6,5,5,6,5,4,2,6,2,4,3,"53","Male",1,1,1,4,1
"269",7,1,1,1,1,7,7,7,7,7,2,4,1,1,1,1,7,7,7,7,7,7,7,7,7,7,2,2,1,1,2,2,1,2,1,7,7,1,5,7,7,7,7,1,7,6,7,1,7,1,4,3,"54","Female",1,2,1,4,1
"270",7,1,3,2,2,6,6,5,6,5,5,4,1,3,2,5,1,5,6,7,4,7,5,6,7,6,2,2,1,1,2,2,1,1,1,2,1,1,6,7,7,6,7,1,7,1,6,1,6,1,4,3,"57","Female",1,1,1,4,1
"271",7,1,1,2,1,7,7,6,7,6,1,7,1,1,1,7,7,7,1,7,1,7,1,7,4,7,2,1,1,1,1,1,2,1,1,1,7,1,7,7,5,1,7,1,7,1,7,1,7,1,4,3,"60","Male",1,1,1,4,1
"272",7,1,1,1,4,1,7,5,5,5,1,1,4,5,1,4,7,5,7,7,6,7,5,6,6,5,2,2,1,1,2,2,1,1,1,1,6,1,6,7,7,7,1,1,4,3,5,1,7,2,4,3,"67","Female",1,1,1,4,1
"273",7,1,1,1,1,7,7,5,5,4,3,2,4,1,1,1,5,5,4,6,1,6,4,6,5,6,2,2,1,1,2,2,1,1,1,1,1,1,4,7,7,6,7,1,5,1,7,2,7,2,4,3,"31","Male",1,1,1,5,1
"274",7,1,2,1,2,4,7,4,3,4,6,4,6,2,4,3,7,5,4,6,3,5,4,5,4,5,2,2,1,1,2,2,1,1,4,1,6,4,3,4,6,2,3,1,3,4,3,6,5,2,4,3,"35",NA,2,1,1,4,1
"275",7,1,3,3,3,6,7,3,5,4,1,2,7,1,4,3,1,5,5,6,4,6,3,5,5,5,2,2,1,1,2,2,1,1,3,5,5,3,4,3,7,4,6,1,5,1,6,3,5,2,4,3,"29","Female",1,1,1,4,1
"276",7,1,1,2,2,7,7,5,6,5,7,2,2,6,1,1,7,6,7,7,5,7,6,7,4,7,2,2,1,1,2,2,1,1,1,1,1,1,7,7,7,7,6,1,7,1,6,7,7,1,4,3,"23","Male",2,1,2,5,1
"277",7,1,1,1,3,6,7,7,7,7,5,5,7,2,3,7,3,6,4,7,1,1,6,7,2,7,2,2,1,1,2,2,1,1,1,2,7,1,5,5,7,2,7,1,6,1,6,1,5,2,4,3,"29","Male",1,1,1,5,1
"278",7,1,4,2,1,3,7,5,5,4,5,3,3,3,1,1,7,6,4,7,4,7,5,5,5,7,2,2,2,2,2,2,1,1,3,1,2,3,4,6,4,6,5,1,4,3,5,6,7,1,4,3,"27","Male",1,1,1,4,1
"279",8,1,7,5,5,4,5,2,2,1,4,4,4,4,3,2,4,5,2,7,1,6,4,5,4,1,2,2,1,1,2,2,1,1,7,4,3,7,4,6,4,2,2,5,2,6,2,6,4,2,4,3,"19","Male",1,1,1,4,1
"280",8,1,7,3,2,6,7,7,7,5,5,2,5,7,1,3,7,5,7,7,5,7,7,7,5,4,2,2,1,1,2,2,1,1,5,1,3,5,1,7,5,1,7,1,7,3,6,1,7,1,4,3,"21","Male",1,1,1,4,1
"281",8,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,5,4,6,4,2,1,1,2,2,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,"23","Female",1,1,1,4,1
"282",8,1,3,2,2,6,6,4,5,5,4,5,6,5,1,1,7,3,6,6,2,6,6,7,3,2,2,2,1,2,1,2,1,1,3,1,4,5,3,4,3,3,5,4,3,4,4,7,4,2,4,3,"25","Male",2,1,1,4,1
"283",8,1,2,2,4,5,4,3,5,5,3,2,2,5,2,3,4,6,4,6,4,6,5,7,4,6,2,2,1,1,2,2,1,1,3,2,6,3,7,6,6,6,7,3,6,2,5,1,6,1,4,3,"26","Female",1,1,1,4,1
"284",8,1,2,1,2,6,7,7,6,6,3,2,1,1,2,6,7,3,2,7,5,3,5,4,6,1,2,2,1,1,2,2,1,1,1,1,6,1,5,5,4,1,5,3,7,2,6,1,5,1,4,3,"27","Female",1,1,1,4,1
"285",8,1,6,5,7,5,6,4,7,4,6,4,7,4,6,4,7,5,4,6,6,5,5,5,6,6,1,2,1,2,2,2,1,1,5,7,5,7,4,6,4,7,4,6,4,6,3,6,4,1,4,3,"29","Male",1,2,1,4,1
"286",8,1,1,1,1,7,7,4,5,5,4,4,6,7,1,4,7,4,4,7,3,6,4,5,4,1,2,2,1,1,2,2,1,1,4,1,1,4,7,7,6,4,7,1,4,2,7,5,4,2,4,3,"29","Male",1,1,1,4,1
"287",8,1,1,1,1,6,7,7,7,7,7,3,3,4,4,4,7,3,1,6,1,6,2,7,3,3,2,2,1,1,2,2,1,1,1,1,1,1,6,5,6,6,7,1,6,2,3,1,4,2,4,3,"30","Male",1,1,1,4,1
"288",8,1,3,2,2,5,5,5,5,4,5,4,6,4,2,2,7,4,2,5,2,5,2,5,3,3,2,2,1,1,2,2,1,1,2,1,5,2,3,6,5,4,5,2,4,2,5,5,6,2,4,3,"30","Female",1,1,1,4,1
"289",8,1,3,1,5,5,1,2,3,1,2,2,1,3,1,4,5,3,5,2,6,1,6,3,6,2,2,2,1,1,2,2,1,1,5,7,5,7,3,5,5,2,6,3,5,6,5,1,4,2,4,3,"30","Female",1,1,1,4,1
"290",8,1,7,1,5,6,1,6,6,2,5,4,2,7,2,6,4,6,4,7,3,4,1,3,7,7,2,1,2,2,1,2,2,1,7,1,6,4,2,1,6,3,5,8,2,6,4,7,6,2,4,1,"30","Male",2,2,1,4,2
"291",8,1,2,1,3,4,6,6,7,7,2,1,5,5,2,6,3,6,5,7,4,5,3,2,6,2,2,2,1,1,2,2,1,1,3,5,7,2,5,3,2,6,5,1,5,6,3,5,7,1,4,3,"31","Male",1,1,1,4,1
"292",8,1,5,6,7,4,7,5,7,7,3,2,6,2,5,2,7,7,3,7,5,3,5,7,3,7,2,2,1,2,2,2,2,1,1,4,2,1,5,5,7,3,4,2,6,3,5,6,6,1,4,3,"31","Female",1,1,1,4,1
